,id,text,time_created
0,VrCCr45dhN-RRM107iptdg,"The minute we flew into New York, we dropped our luggage off and headed off to Russ and Daughters for breakfast. I was truly excited to have my first meal...",2020-03-14 21:30:40
1,VrCCr45dhN-RRM107iptdg,"Pretty tasty stuff here! Loved the pastrami cured salmon and the caviar cream cheese.

Latkes are just ok to me but that's probably because they come in a...",2020-02-27 13:38:29
2,VrCCr45dhN-RRM107iptdg,Great place. The decor is a throwback to when the diner was founded in the early 1900s. Beautifully yet simply decorated with interesting lighting fixtures....,2020-02-25 03:13:45
0,j1S3NUrkB3BVT49n_e76NQ,"Like the name implies.... BEST BAGEL & Coffee (which I didn't drink) lol.

Don't let the line deter you. There is a reason why there is a line out the door....",2020-03-24 21:10:24
1,j1S3NUrkB3BVT49n_e76NQ,"Definitely best bagel, however, the coffee is questionable = 4 stars 

Coffee - originally wanted a cappuccino but they were honest and told me that it's...",2020-03-17 07:57:35
2,j1S3NUrkB3BVT49n_e76NQ,"It was workout wifey's birthday weekend and she was determined to get a New York bagel. Luckily for us, Best Bagel & Coffee was down the street from our...",2020-03-11 09:34:06
0,JV5oa5-KGdiWnqrKPoxSug,Easily the best bagels in the UWS and a strong contender for the title of the city's best. While some places nearby charge premium prices for their plain...,2020-02-24 14:12:17
1,JV5oa5-KGdiWnqrKPoxSug,"After reading a number of articles proclaiming these the best bagels in NYC, I decided to trek all the way up to the Upper West side to try their acclaimed...",2020-03-11 21:08:53
2,JV5oa5-KGdiWnqrKPoxSug,"I'd give 3 but forced to do 1 to counter all the illogical 5 stars. Ppl, 5 literally means the best.This is NYC and we take bagels seriously, to a sad and...",2020-01-27 08:27:20
0,c3eMI4_o4dPDDhPV_ibBYQ,"My o my!!! 
Everything bagle, nicely sliced loxs, capers, onion, tomatoe, lettuce and scallion cream cheese. 

Even introduced to a friend who doesn't like...",2020-03-10 15:31:20
1,c3eMI4_o4dPDDhPV_ibBYQ,"I ordered bagels from Ess-a-bagel. Through on on line website that has many restaurants and pastry shops 
 you can order from.

When I received the bagels...",2020-04-03 03:59:13
2,c3eMI4_o4dPDDhPV_ibBYQ,This place is SO GOOD! It's literally like bagel galore!! I went when I visited the city recently. It was a Friday and the line was literally out the door....,2020-03-10 07:49:56
0,oi39VAwo4-KGm_gSkWPCsQ,"Not Essa Bagel or Best Bagel & Coffee, but still good. Definitely my third favorite bagel shop in the city as of this writing.

Covid has made the weekend...",2020-03-23 17:36:26
1,oi39VAwo4-KGm_gSkWPCsQ,"If you're looking for the traditional NY bagels that everyone here raves about, you can't go wrong at Tompkins Square. The bagel sandwiches here are HUGE...",2020-03-01 09:26:05
