,limit_bal,sex,age,pay_july,pay_amt_sept,pay_amt_aug,pay_amt_july,pay_amt_june,pay_amt_may,pay_amt_april,default,bill_avg,pay_amt_sept_cap,pay_amt_aug_cap,pay_amt_july_cap,pay_amt_june_cap,pay_amt_may_cap,pay_amt_april_cap,single,marriage_other,edu_university,edu_highschool,edu_other
0,200000,2,30,1,6600,6000,5860,6000,5000,0,0,146221.33333333334,6600,6000,5860,6000,5000,0,0,0,0,1,0
1,200000,2,27,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1
2,20000,2,28,1,3353,3,5101,6,6530,8103,1,6543.833333333333,3353,3,5101,6,6530,8103,1,0,1,0,0
3,50000,1,23,0,4175,41000,51705,700,718,700,0,39625.0,4175,41000,51705,700,718,700,1,0,1,0,0
4,20000,1,47,0,780,0,0,0,0,0,0,195.0,780,0,0,0,0,0,0,0,1,0,0
5,400000,1,44,0,1216,1213,363,219,234,159,0,7616.666666666667,1216,1213,363,219,234,159,1,0,1,0,0
6,70000,2,22,0,68209,2081,2000,2000,1828,1518,0,48826.0,68209,2081,2000,2000,1828,1518,1,0,1,0,0
7,170000,1,38,0,9900,83200,0,3006,132854,5003,0,151199.83333333334,9900,83200,0,3006,132854,5003,0,0,1,0,0
8,20000,1,22,1,3000,0,3000,0,1000,400,0,19975.666666666668,3000,0,3000,0,1000,400,1,0,1,0,0
9,60000,1,36,0,5200,3000,8500,0,4000,7000,0,63397.833333333336,5200,3000,8500,0,4000,7000,1,0,0,0,0
10,80000,2,47,0,5501,6150,0,0,48855,1832,0,107238.16666666667,5501,6150,0,0,48855,1832,1,0,0,1,0
11,180000,2,23,0,2015,3000,3000,1000,1814,3000,0,5739.5,2015,3000,3000,1000,1814,3000,1,0,0,0,0
12,210000,2,30,0,9500,9100,9900,6100,6100,6300,0,198676.33333333334,9500,9100,9900,6100,6100,6300,1,0,1,0,0
13,330000,2,36,0,3744,119356,20062,10189,30032,4005,0,71943.83333333333,3744,119356,20062,10189,30032,4005,0,0,0,0,1
14,100000,2,26,1,0,1795,0,13,933,3000,0,2133.0,0,1795,0,13,933,3000,1,0,0,0,0
15,40000,2,28,1,3500,0,0,3000,0,2000,0,33115.0,3500,0,0,3000,0,2000,0,0,1,0,0
16,390000,2,53,0,1540,690,0,0,0,717,0,446.6666666666667,1540,690,0,0,0,717,1,0,0,0,0
17,230000,2,30,0,1500,2000,2000,2000,1500,2000,1,5736.0,1500,2000,2000,2000,1500,2000,1,0,0,1,0
18,550000,2,28,0,12036,9071,8022,6797,7095,6469,0,242353.83333333334,12036,9071,8022,6797,7095,6469,1,0,0,0,0
19,50000,1,45,0,1600,1700,1250,1000,1000,1000,0,15558.0,1600,1700,1250,1000,1000,1000,0,0,0,1,0
20,80000,2,27,0,1500,2000,1300,1000,650,1000,1,25998.5,1500,2000,1300,1000,650,1000,1,0,0,1,0
21,50000,2,50,1,4130,0,1100,1200,1000,1100,1,33899.833333333336,4130,0,1100,1200,1000,1100,1,0,0,1,0
22,50000,2,40,0,1476,1517,1451,1043,1048,1429,0,30153.5,1476,1517,1451,1043,1048,1429,0,0,0,1,0
